Iter        187 : 11111, Value : 72
Iter        188 : 11111, Value : 72
Iter        189 : 11111, Value : 72
Iter        190 : 11111, Value : 72
Iter        191 : 11111, Value : 72
Iter        192 : 00110, Value : 8
Iter        193 : 00110, Value : 8
Iter        194 : 00110, Value : 8
Iter        195 : 01011, Value : 81
Iter        196 : 01111, Value : 62
Iter        197 : 11111, Value : 72
Iter        198 : 11111, Value : 72
Iter        199 : 11111, Value : 72
Iter        200 : 11111, Value : 72
Iter        201 : 11111, Value : 72
Iter        202 : 11111, Value : 72
Iter        203 : 11111, Value : 72
Iter        204 : 11111, Value : 72
Iter        205 : 11111, Value : 72
Iter        206 : 11111, Value : 72
Iter        207 : 11111, Value : 72
Iter        208 : 11111, Value : 72
Iter        209 : 11111, Value : 72
Iter        210 : 11111, Value : 72
Iter        211 : 10110, Value : 9
Iter        212 : 10110, Value : 9
Iter        213 : 00111, Value : 42
Iter        214 : 00111, Value : 42
Iter        215 : 00111, Value : 42
Iter        216 : 00111, Value : 42
Iter        217 : 00111, Value : 42
Iter        218 : 00111, Value : 42
Iter        219 : 00111, Value : 42
Iter        220 : 00111, Value : 42
Iter        221 : 11111, Value : 72
Iter        222 : 11111, Value : 72
Iter        223 : 11111, Value : 72
Iter        224 : 11111, Value : 72
Iter        225 : 11111, Value : 72
Iter        226 : 11111, Value : 72
Iter        227 : 11111, Value : 72
Iter        228 : 11111, Value : 72
Iter        229 : 11111, Value : 72
Iter        230 : 11111, Value : 72
Iter        231 : 11111, Value : 72
Iter        232 : 11111, Value : 72
Iter        233 : 11111, Value : 72
Iter        234 : 11111, Value : 72
Iter        235 : 11111, Value : 72
Iter        236 : 11111, Value : 72
Iter        237 : 11111, Value : 72
Iter        238 : 11111, Value : 72
Iter        239 : 11111, Value : 72
Iter        240 : 11111, Value : 72
Iter        241 : 11111, Value : 72
Iter        242 : 11111, Value : 72
Iter        243 : 11111, Value : 72
Iter        244 : 11111, Value : 72
Iter        245 : 11111, Value : 72
Iter        246 : 11111, Value : 72
Iter        247 : 11111, Value : 72
Iter        248 : 11111, Value : 72
Iter        249 : 11111, Value : 72
Iter        250 : 11111, Value : 72
Iter        251 : 11111, Value : 72
Iter        252 : 11111, Value : 72
Iter        253 : 11111, Value : 72
Iter        254 : 11111, Value : 72
Iter        255 : 11111, Value : 72
Iter        256 : 11111, Value : 72
Iter        257 : 11111, Value : 72
Iter        258 : 11111, Value : 72
Iter        259 : 11111, Value : 72
Iter        260 : 11111, Value : 72
Iter        261 : 11111, Value : 72
Iter        262 : 11111, Value : 72
Iter        263 : 11111, Value : 72
Iter        264 : 11111, Value : 72
Iter        265 : 11111, Value : 72
Iter        266 : 11111, Value : 72
Iter        267 : 11111, Value : 72
Iter        268 : 11111, Value : 72
Iter        269 : 11111, Value : 72
Iter        270 : 11111, Value : 72
Iter        271 : 11111, Value : 72
Iter        272 : 11111, Value : 72
Iter        273 : 11111, Value : 72
Iter        274 : 11111, Value : 72
Iter        275 : 11111, Value : 72
Iter        276 : 11111, Value : 72
Iter        277 : 11111, Value : 72
Iter        278 : 11111, Value : 72
Iter        279 : 11111, Value : 72
Iter        280 : 11111, Value : 72
Iter        281 : 11111, Value : 72
Iter        282 : 11111, Value : 72
Iter        283 : 11111, Value : 72
Iter        284 : 11111, Value : 72
Iter        285 : 11111, Value : 72
Iter        286 : 11111, Value : 72
Iter        287 : 11111, Value : 72
Iter        288 : 11111, Value : 72
Iter        289 : 11111, Value : 72
Iter        290 : 11111, Value : 72
Iter        291 : 11111, Value : 72
Iter        292 : 11111, Value : 72
Iter        293 : 11111, Value : 72
Iter        294 : 11111, Value : 72
Iter        295 : 11111, Value : 72
Iter        296 : 11111, Value : 72
Iter        297 : 11111, Value : 72
Iter        298 : 11111, Value : 72
Iter        299 : 11111, Value : 72
Iter        300 : 11111, Value : 72
Iter        301 : 00001, Value : 8
Iter        302 : 00001, Value : 8
Iter        303 : 00001, Value : 8
Iter        304 : 11011, Value : 91
